strain	date	S1_mutations	clade_membership	country	current_frequency	division	emerging_lineage	epiweek	genbank_accession	host	mutational_fitness	pango_lineage	recency	region	url	author	accession	originating_lab	submitting_lab	logistic_growth
USA/RI-CDC-ASC210082174/2021	2021-09-09	7.00	21J (Delta)	USA		Rhode Island	21J (Delta)	202136	OK437017	Homo sapiens	1.16	AY.122	Older	North America		Howard et al NP				
USA/MI-CDC-ASC210138801/2021	2021-09-09	7.00	21J (Delta)	USA		Michigan	21J (Delta)	202136	OK580312	Homo sapiens	1.16	AY.122	Older	North America		Howard et al NQ				
SYC/SS3562/2021	2021-09-15	9.00	21J (Delta)	Seychelles		Seychelles	21J (Delta)	202137	OL351978	Homo sapiens	1.20	AY.122	Older	Africa		Githinji et al IK				
SYC/SS3966/2021	2021-10-22	9.00	21J (Delta)	Seychelles	0.00	Seychelles	21J (Delta)	202142	OL691249	Homo sapiens	1.29	AY.122	Older	Africa		Githinji et al IL				
SYC/SS3618/2021	2021-09-22	8.00	21J (Delta)	Seychelles		Seychelles	21J (Delta)	202138	OL352025	Homo sapiens	1.19	AY.122	Older	Africa		Githinji et al IM				
SYC/SS3535/2021	2021-09-12	8.00	21J (Delta)	Seychelles		Seychelles	21J (Delta)	202137	OL351955	Homo sapiens	1.20	AY.122	Older	Africa		Githinji et al IN				
SYC/SS3546/2021	2021-09-14	8.00	21J (Delta)	Seychelles		Seychelles	21J (Delta)	202137	OL351965	Homo sapiens	1.20	AY.122	Older	Africa		Githinji et al IO				
SYC/SS3583/2021	2021-09-16	8.00	21J (Delta)	Seychelles		Seychelles	21J (Delta)	202137	OL351997	Homo sapiens	1.20	AY.122	Older	Africa		Githinji et al IP				
BHR/21922002824/2021	2021-11-27	8.00	21J (Delta)	Bahrain	0.00	Bahrain	21J (Delta)	202147	OL721966	Homo sapiens	1.17	AY.122	Older	Asia		Alwasti et al JP				-5.69
BHR/21342801887_S86_L001/2021	2021-12-01	8.00	21J (Delta)	Bahrain	0.00	Bahrain	21J (Delta)	202148	OL845757	Homo sapiens	1.17	AY.122	One month ago	Asia		Alwasti et al JQ				-5.69
Liechtenstein/FL-Risch-2192206883/2021	2021-09-20	11.00	21J (Delta)	Liechtenstein		Liechtenstein	21J (Delta)	202138	OU838648	Homo sapiens	1.21	AY.122	Older	Europe		? EJ		Dr. Risch Ostschweiz AG, Lagerstrasse 30, 9470 Buchs	Dr. Risch	
OU966191	2021-09-27	9.00	21J (Delta)	Germany		Bavaria	21J (Delta)	202139	OU966191	Homo sapiens	1.25	AY.122	Older	Europe		? B		Labor Becker & Kollegen (Standort München), Führichstraße 70; 81671 München	Robert Koch Institute	
OV312551	2021-12-09	8.00	21J (Delta)	United Kingdom	0.00	England	21J (Delta)	202149	OV312551	Homo sapiens	1.19	AY.122	3-7 days ago	Europe		Wynn et al B		Lighthouse Lab in Alderley Park	Wellcome Sanger Institute	-5.69
OV110142	2021-09-06	8.00	21J (Delta)	Germany		Baden-Wuerttemberg	21J (Delta)	202136	OV110142	Homo sapiens	1.20	AY.122	Older	Europe		? B		Universitätsklinikum Heidelberg, Im Neuenheimer Feld 324; 69120 Heidelberg	Robert Koch Institute	
OU966205	2021-09-27	9.00	21J (Delta)	Germany		Bavaria	21J (Delta)	202139	OU966205	Homo sapiens	1.26	AY.122	Older	Europe		? B		Labor Becker & Kollegen (Standort München), Führichstraße 70; 81671 München	Robert Koch Institute	
OV197339	2021-12-01	8.00	21J (Delta)	Germany	0.00	Baden-Wuerttemberg	21J (Delta)	202148	OV197339	Homo sapiens	1.18	AY.122	One month ago	Europe		? B		SYNLAB MVZ Leinfelden-Echterdingen, Nikolaus-Otto-Str. 6; 70771 Leinfelden-Echterdingen	Robert Koch Institute	-5.69
Switzerland/BL-ETHZ-34100934/2021	2021-09-14	9.00	21J (Delta)	Switzerland		Basel-Land	21J (Delta)	202137	OU842424	Homo sapiens	1.19	AY.122	Older	Europe		? EK		Viollier AG; Hagmattstrasse 14, 4123 Allschwil	ETH ZURICH D-BSSE	
Switzerland/AG-ETHZ-673412/2021	2021-12-04	9.00	21J (Delta)	Switzerland	0.00	Aargau	21J (Delta)	202148	OV261868	Homo sapiens	1.20	AY.122	One month ago	Europe		? EL		labor team w AG; Blumeneggstrasse 55, 9403 Goldach	ETH ZURICH D-BSSE	-5.69
OV301631	2021-09-07	7.00	21J (Delta)	Germany		Bavaria	21J (Delta)	202136	OV301631	Homo sapiens	1.20	AY.122	One month ago	Europe		? B		SYNLAB MVZ Weiden, Zur Kesselschmiede 4; 92637 Weiden in der Oberpfalz	Robert Koch Institute	
OV204013	2021-12-02	7.00	21J (Delta)	Germany	0.00	North Rhine Westphalia	21J (Delta)	202148	OV204013	Homo sapiens	1.17	AY.122	One month ago	Europe		? B		SYNLAB MVZ Leverkusen, Paracelsusstraße 13; 51375 Leverkusen	Robert Koch Institute	-5.69
BHR/21922016157/2021	2021-11-28	9.00	21J (Delta)	Bahrain	0.00	Bahrain	21J (Delta)	202148	OL721998	Homo sapiens	1.26	AY.122	Older	Asia		Alwasti et al JR				-5.69
OV309916	2021-12-10	8.00	21J (Delta)	Germany	0.00	North Rhine Westphalia	21J (Delta)	202149	OV309916	Homo sapiens	0.98	AY.122	One week ago	Europe		? B		SYNLAB MVZ Leverkusen, Paracelsusstraße 13; 51375 Leverkusen	Robert Koch Institute	-5.69
RUS/RU-Sar-2790/2021	2021-08-27	7.00	21J (Delta)	Russia		Saratov	21J (Delta)	202134	OK087381	Homo sapiens	1.16	AY.122	Older	Europe		Krasnov et al H				
CHN/Delta-1/2021	2021-08-10	8.00	21J (Delta)	China		Beijing	21J (Delta)	202132	OM061695	Homo sapiens	1.22	AY.122	One week ago	Asia		Qin et al B				
AUT/SKV-287/2021	2021-12-01	7.00	21J (Delta)	Austria	0.00	Upper Austria	21J (Delta)	202148	OM100944	Homo sapiens	1.16	AY.122	3-7 days ago	Europe		Puehringer et al AT				-5.69
AUT/SKV-250/2021	2021-09-09	9.00	21J (Delta)	Austria		Upper Austria	21J (Delta)	202136	OL442178	Homo sapiens	1.19	AY.122	Older	Europe		Puehringer et al AU				
OV198546	2021-11-25	8.00	21J (Delta)	Germany	0.00	Bavaria	21J (Delta)	202147	OV198546	Homo sapiens	1.25	AY.122	One month ago	Europe		? B		amedes MVZ für Laboratoriumsdiagnostik Raubling GmbH, Am Rossfeld 4; 83064 Raubling	Robert Koch Institute	-5.69
OV204055	2021-12-02	8.00	21J (Delta)	Germany	0.00	North Rhine Westphalia	21J (Delta)	202148	OV204055	Homo sapiens	1.20	AY.122	One month ago	Europe		? B		SYNLAB MVZ Leverkusen, Paracelsusstraße 13; 51375 Leverkusen	Robert Koch Institute	-5.69
Liechtenstein/FL-Risch-21B2415294/2021	2021-11-09	8.00	21J (Delta)	Liechtenstein	0.00	Liechtenstein	21J (Delta)	202145	OV215371	Homo sapiens	1.19	AY.122	One month ago	Europe		? EM		Dr. Risch Ostschweiz AG, Lagerstrasse 30, 9470 Buchs	Dr. Risch	-5.69
Liechtenstein/FL-Risch-21B2415622/2021	2021-11-20	8.00	21J (Delta)	Liechtenstein	0.00	Liechtenstein	21J (Delta)	202146	OV215501	Homo sapiens	1.19	AY.122	One month ago	Europe		? EN		Dr. Risch Ostschweiz AG, Lagerstrasse 30, 9470 Buchs	Dr. Risch	-5.69
BGD/Laila_269/2021	2021-07-22	9.00	21J (Delta)	Bangladesh		Bangladesh	21J (Delta)	202129	OL966532	Homo sapiens	1.19	AY.43	One month ago	Asia		Banu et al U				
USA/NV-CDC-LC0302498/2021	2021-09-15	8.00	21J (Delta)	USA		Nevada	21J (Delta)	202137	OK515530	Homo sapiens	1.17	AY.95	Older	North America		Howard et al NR				
PAK/JRCGR_KHI_SCV-127/2021	2021-08-27	8.00	21J (Delta)	Pakistan		Pakistan	21J (Delta)	202134	OK398450	Homo sapiens	1.16	AY.122	Older	Asia		Irfan et al C				
IND/574MN908947.3/2021	2021-09-25	7.00	21J (Delta)	India		India	21J (Delta)	202138	OK356472	Homo sapiens	1.13	B.1.617.2	Older	Asia		Nair et al BN				
IND/575MN908947.3/2021	2021-09-25	7.00	21J (Delta)	India		India	21J (Delta)	202138	OK356473	Homo sapiens	1.13	B.1.617.2	Older	Asia		Nair et al BO				
Switzerland/BE-ETHZ-672558/2021	2021-11-03	8.00	21J (Delta)	Switzerland	0.00	Bern	21J (Delta)	202144	OV037193	Homo sapiens	1.19	AY.102	Older	Europe		? EO		labor team w AG; Blumeneggstrasse 55, 9403 Goldach	ETH ZURICH D-BSSE	-5.71
OV309325	2021-09-06	9.00	21J (Delta)	Germany		Hamburg	21J (Delta)	202136	OV309325	Homo sapiens	1.23	B.1.617.2	One week ago	Europe		? B		MVZ Labor Dr. Fenner und Kollegen (Standort Hamburg), BergstraÃŸe 14; 20095 Hamburg	Robert Koch Institute	
Switzerland/SH-ETHZ-35096336/2021	2021-12-03	8.00	21J (Delta)	Switzerland	0.00	Schaffhausen	21J (Delta)	202148	OV284742	Homo sapiens	1.18	AY.102	One month ago	Europe		? EP		Viollier AG; Hagmattstrasse 14, 4123 Allschwil	ETH ZURICH D-BSSE	-5.71
Switzerland/BE-IFIK-5080-9275/2021	2021-12-12	11.00	21J (Delta)	Switzerland	0.00	Bern	21J (Delta)	202150	OV309490	Homo sapiens	1.21	AY.121	One week ago	Europe		? EQ		Institute for Infectious Diseases, University of Bern, Switzerland	Institute for Infectious Diseases, University of Bern, Switzerland	-5.71
OV203581	2021-12-02	9.00	21J (Delta)	Germany	0.00	North Rhine Westphalia	21J (Delta)	202148	OV203581	Homo sapiens	1.18	AY.102	One month ago	Europe		? B		SYNLAB MVZ Leverkusen, Paracelsusstraße 13; 51375 Leverkusen	Robert Koch Institute	-5.71
Liechtenstein/FL-Risch-21B2415054/2021	2021-11-18	9.00	21J (Delta)	Liechtenstein	0.00	Liechtenstein	21J (Delta)	202146	OV215360	Homo sapiens	1.24	B.1.617.2	One month ago	Europe		? ER		Dr. Risch Ostschweiz AG, Lagerstrasse 30, 9470 Buchs	Dr. Risch	-5.71
Liechtenstein/FL-Risch-21B2415216/2021	2021-11-20	9.00	21J (Delta)	Liechtenstein	0.00	Liechtenstein	21J (Delta)	202146	OV215341	Homo sapiens	1.23	B.1.617.2	One month ago	Europe		? ES		Dr. Risch Ostschweiz AG, Lagerstrasse 30, 9470 Buchs	Dr. Risch	-5.71
BHR/21921847658_S67_L001/2021	2021-11-06	9.00	21J (Delta)	Bahrain	0.00	Bahrain	21J (Delta)	202144	OL441433	Homo sapiens	1.18	AY.78	Older	Asia		Alwasti et al JS				-5.88
OV020653	2021-10-12	10.00	21J (Delta)	Germany		Saxony	21J (Delta)	202141	OV020653	Homo sapiens	1.22	AY.125	Older	Europe		? B		Bioscientia Labor Wermsdorf, Am Fasanenholz 31; 04779 Wermsdorf	Robert Koch Institute	
Liechtenstein/FL-Risch-21A0405459/2021	2021-10-02	9.00	21J (Delta)	Liechtenstein		Liechtenstein	21J (Delta)	202139	OU845886	Homo sapiens	1.22	B.1.617.2	Older	Europe		? ET		Dr. Risch Ostschweiz AG, Lagerstrasse 30, 9470 Buchs	Dr. Risch	
USA/DC-CDC-LC0177828/2021	2021-08-08	9.00	21J (Delta)	USA		Washington DC	21J (Delta)	202132	MZ988955	Homo sapiens	1.34	AY.119	Older	North America		Howard et al NS				
USA/AK-PHL14787/2021	2021-10-26	8.00	21J (Delta)	USA	0.00	Alaska	21J (Delta)	202143	OL469998	Homo sapiens	1.25	AY.119	Older	North America		DeRonde et al F				-5.76
USA/WI-CDC-ASC210402429/2021	2021-11-15	9.00	21J (Delta)	USA	0.00	Wisconsin	21J (Delta)	202146	OL886663	Homo sapiens	1.21	AY.119	One month ago	North America		Howard et al NT		Aegis Sciences Corporation	CDC-OAMD	-5.76
USA/MI-CDC-FG-054898/2021	2021-07-27	9.00	21J (Delta)	USA		Michigan	21J (Delta)	202130	MZ764368	Homo sapiens	1.22	AY.119	Older	North America		Howard et al NU		Fulgent Genetics	CDC-OAMD	
USA/IA-CDC-LC0442579/2021	2021-12-15	9.00	21J (Delta)	USA	0.00	Iowa	21J (Delta)	202150	OM121384	Homo sapiens	1.22	AY.119	3-7 days ago	North America		Howard et al NV		Laboratory Corporation of America	CDC-OAMD	-5.76
USA/IL-CDC-LC0275126/2021	2021-09-09	9.00	21J (Delta)	USA		Illinois	21J (Delta)	202136	OK367405	Homo sapiens	1.23	AY.119	Older	North America		Howard et al NW				
USA/TN-CDC-QDX31491928/2021	2021-11-28	9.00	21J (Delta)	USA	0.00	Tennessee	21J (Delta)	202148	OL789777	Homo sapiens	1.23	AY.119	Older	North America		Howard et al NX		Quest Diagnostics Incorporated	CDC-OAMD	-5.76
USA/NC-CDC-LC0374868/2021	2021-11-11	10.00	21J (Delta)	USA	0.00	North Carolina	21J (Delta)	202145	OL645705	Homo sapiens	1.31	AY.119	Older	North America		Howard et al NY		Laboratory Corporation of America	CDC-OAMD	-5.76
USA/NM-CDC-IBX598720309489/2021	2021-12-03	10.00	21J (Delta)	USA	0.00	New Mexico	21J (Delta)	202148	OL959950	Homo sapiens	1.31	AY.119	One month ago	North America		Howard et al NZ		Infinity Biologix	CDC-OAMD	-5.76
USA/MA-CDC-STM-ZZMUV2YF5/2021	2021-11-16	10.00	21J (Delta)	USA	0.00	Massachusetts	21J (Delta)	202146	OL727851	Homo sapiens	1.35	AY.119	Older	North America		Howard et al OA		'Helix'	CDC-OAMD	-5.76
USA/KS-CDC-ASC210711445/2021	2021-11-18	10.00	21J (Delta)	USA	0.00	Kansas	21J (Delta)	202146	OL859609	Homo sapiens	1.28	AY.119	One month ago	North America		Howard et al OB		Aegis Sciences Corporation	CDC-OAMD	-5.76
NZL/21CV0445/2021	2021-09-12	9.00	21J (Delta)	New Zealand		Auckland	21J (Delta)	202137	OK427084	Homo sapiens	1.23	AY.103	Older	Oceania		Ren et al MY		LabPLUS	Institute of Environmental Science and Research	
BHR/21921665874_S52_L001/2021	2021-10-09	9.00	21J (Delta)	Bahrain		Bahrain	21J (Delta)	202140	OK487611	Homo sapiens	1.23	AY.117	Older	Asia		Alwasti et al JT				
USA/NC-CDC-LC0351012/2021	2021-10-19	8.00	21J (Delta)	USA		North Carolina	21J (Delta)	202142	OL393724	Homo sapiens	1.20	AY.126	Older	North America		Howard et al OC				
BGD/Laila_365/2021	2021-09-22	8.00	21J (Delta)	Bangladesh		Bangladesh	21J (Delta)	202138	OM019130	Homo sapiens	1.20	AY.102	One week ago	Asia		Banu et al V				
USA/NH-CDC-LC0272842/2021	2021-09-12	9.00	21J (Delta)	USA		New Hampshire	21J (Delta)	202137	OK368458	Homo sapiens	1.20	B.1.617.2	Older	North America		Howard et al OD				
BHR/400207167_S40_L001/2021	2021-10-08	8.00	21J (Delta)	Bahrain		Bahrain	21J (Delta)	202140	OK467959	Homo sapiens	1.20	AY.39	Older	Asia		Alwasti et al JU				
BHR/21922004930/2021	2021-11-27	9.00	21J (Delta)	Bahrain	0.00	Bahrain	21J (Delta)	202147	OL721971	Homo sapiens	1.18	AY.46.6	Older	Asia		Alwasti et al JV				-5.79
BHR/21921935869_S43_L001/2021	2021-11-20	8.00	21J (Delta)	Bahrain	0.00	Bahrain	21J (Delta)	202146	OL659118	Homo sapiens	1.22	AY.83	Older	Asia		Alwasti et al JW				-5.79
BHR/21922023252_S28_L001/2021	2021-12-01	7.00	21J (Delta)	Bahrain	0.00	Bahrain	21J (Delta)	202148	OL845817	Homo sapiens	1.40	B.1.617.2	One month ago	Asia		Alwasti et al JX				-5.79
BHR/21922085898_S54_L001/2021	2021-12-01	9.00	21J (Delta)	Bahrain	0.00	Bahrain	21J (Delta)	202148	OL845639	Homo sapiens	1.19	B.1.617.2	One month ago	Asia		Alwasti et al JY				-5.79
BHR/21922066095_S19_L001/2021	2021-12-08	8.00	21J (Delta)	Bahrain	0.00	Bahrain	21J (Delta)	202149	OM067032	Homo sapiens	1.19	AY.102	One week ago	Asia		Alwasti et al JZ				-5.79
BHR/21922065956_S18_L001/2021	2021-12-08	8.00	21J (Delta)	Bahrain	0.00	Bahrain	21J (Delta)	202149	OM067028	Homo sapiens	1.15	AY.39	One week ago	Asia		Alwasti et al KA				-5.79
BHR/21342809162_S53_L001/2021	2021-12-08	8.00	21J (Delta)	Bahrain	0.00	Bahrain	21J (Delta)	202149	OM067076	Homo sapiens	1.16	B.1.617.2	One week ago	Asia		Alwasti et al KB				-5.79
BHR/21342763862_S57_L001/2021	2021-11-23	8.00	21J (Delta)	Bahrain	0.00	Bahrain	21J (Delta)	202147	OL659032	Homo sapiens	1.21	AY.120	Older	Asia		Alwasti et al KC				-5.79
BHR/21342763834_S58_L001/2021	2021-11-23	8.00	21J (Delta)	Bahrain	0.00	Bahrain	21J (Delta)	202147	OL659031	Homo sapiens	1.21	AY.120	Older	Asia		Alwasti et al KD				-5.79
BHR/21922040607_S5_L001/2021	2021-12-01	9.00	21J (Delta)	Bahrain	0.00	Bahrain	21J (Delta)	202148	OL845766	Homo sapiens	1.22	AY.91	One month ago	Asia		Alwasti et al KE				-5.79
BHR/T095319700_S41_L001/2021	2021-10-08	8.00	21J (Delta)	Bahrain		Bahrain	21J (Delta)	202140	OK467936	Homo sapiens	1.19	AY.126	Older	Asia		Alwasti et al KF				
BHR/21921764949/2021	2021-10-24	8.00	21J (Delta)	Bahrain	0.00	Bahrain	21J (Delta)	202143	OL304986	Homo sapiens	1.18	AY.4	Older	Asia		Alwasti et al KG				
BHR/21922008264/2021	2021-11-27	8.00	21J (Delta)	Bahrain	0.00	Bahrain	21J (Delta)	202147	OL721978	Homo sapiens	1.27	AY.4	Older	Asia		Alwasti et al KH				-5.79
BHR/21922050521_S12_L001/2021	2021-12-01	8.00	21J (Delta)	Bahrain	0.00	Bahrain	21J (Delta)	202148	OL845705	Homo sapiens	1.21	AY.4	One month ago	Asia		Alwasti et al KI				-5.79
Switzerland/SG-ETHZ-34369151/2021	2021-10-07	8.00	21J (Delta)	Switzerland		Sankt Gallen	21J (Delta)	202140	OU958465	Homo sapiens	1.24	AY.4.5	Older	Europe		? EU		Viollier AG; Hagmattstrasse 14, 4123 Allschwil	ETH ZURICH D-BSSE	
BHR/21921957804_S50_L001/2021	2021-11-23	11.00	21J (Delta)	Bahrain	0.00	Bahrain	21J (Delta)	202147	OL659060	Homo sapiens	1.26	AY.4.5	Older	Asia		Alwasti et al KJ				-5.79
BHR/21921957734_S14_L001/2021	2021-11-23	11.00	21J (Delta)	Bahrain	0.00	Bahrain	21J (Delta)	202147	OL659055	Homo sapiens	1.26	AY.4.5	Older	Asia		Alwasti et al KK				-5.79
BHR/21230137776/2021	2021-11-28	11.00	21J (Delta)	Bahrain	0.00	Bahrain	21J (Delta)	202148	OL719080	Homo sapiens	1.26	AY.4.5	Older	Asia		Alwasti et al KL				-5.79
BHR/21922076821_S79_L001/2021	2021-12-08	11.00	21J (Delta)	Bahrain	0.00	Bahrain	21J (Delta)	202149	OM067046	Homo sapiens	1.26	AY.4.5	One week ago	Asia		Alwasti et al KM				-5.79
BHR/21921951622_S85_L001/2021	2021-11-20	11.00	21J (Delta)	Bahrain	0.00	Bahrain	21J (Delta)	202146	OL659182	Homo sapiens	1.27	AY.4.5	Older	Asia		Alwasti et al KN				-5.79
BHR/21342836771_S27_L001/2021	2021-12-15	12.00	21J (Delta)	Bahrain	0.00	Bahrain	21J (Delta)	202150	OM083884	Homo sapiens	1.26	AY.4.5	One week ago	Asia		Alwasti et al KO				-5.79
BHR/21342840669_S55_L001/2021	2021-12-15	12.00	21J (Delta)	Bahrain	0.00	Bahrain	21J (Delta)	202150	OM083902	Homo sapiens	1.21	AY.4.5	One week ago	Asia		Alwasti et al KP				-5.79
KEN/SS3662/2021	2021-09-15	8.00	21J (Delta)	Kenya		Kenya	21J (Delta)	202137	OL352264	Homo sapiens	1.19	AY.46	Older	Africa		Githinji et al IQ				
PAK/233414/2021	2021-09-22	8.00	21J (Delta)	Pakistan		Sindh	21J (Delta)	202138	OL831036	Homo sapiens	1.21	AY.122	One month ago	Asia		Khan et al V				
KEN/SS3697/2021	2021-09-17	8.00	21J (Delta)	Kenya		Kenya	21J (Delta)	202137	OL352285	Homo sapiens	1.19	AY.46	Older	Africa		Githinji et al IR				
KEN/SS2438/2021	2021-09-08	8.00	21J (Delta)	Kenya		Kenya	21J (Delta)	202136	OK348748	Homo sapiens	1.19	AY.46	Older	Africa		Githinji et al IS				
OV250129	2021-11-08	8.00	21J (Delta)	Slovakia	0.00	Slovakia	21J (Delta)	202145	OV250129	Homo sapiens	1.17	AY.46	One month ago	Europe		? Q		Public Health Authority of the Slovak Republic, TrnavskÃ¡ cesta 52, 826 45 Bratislava, Slovakia	Laboratory of Genomics and Bioinformatics, Comenius University Science Park	-10.56
KEN/SS2430/2021	2021-09-06	8.00	21J (Delta)	Kenya		Kenya	21J (Delta)	202136	OK348806	Homo sapiens	1.19	AY.46	Older	Africa		Githinji et al IT				
KEN/SS2486/2021	2021-09-14	8.00	21J (Delta)	Kenya		Kenya	21J (Delta)	202137	OK348723	Homo sapiens	1.20	AY.46	Older	Africa		Githinji et al IU				
PAK/226555/2021	2021-09-13	9.00	21J (Delta)	Pakistan		Sindh	21J (Delta)	202137	OL831034	Homo sapiens	1.23	AY.118	One month ago	Asia		Khan et al W				
KEN/SS4141/2021	2021-11-11	9.00	21J (Delta)	Kenya	0.00	Kenya	21J (Delta)	202145	OL913037	Homo sapiens	1.23	AY.46	One month ago	Africa		Githinji et al IV				-10.56
KEN/SS4131/2021	2021-11-29	8.00	21J (Delta)	Kenya	0.00	Kenya	21J (Delta)	202148	OL913028	Homo sapiens	1.23	AY.46	One month ago	Africa		Githinji et al IW				-10.56
DJI/NAMRU3_D570/2021	2021-09-21	8.00	21J (Delta)	Djibouti		Djibouti	21J (Delta)	202138	OL640786	Homo sapiens	1.23	AY.46	Older	Africa		Arnold et al BN				
DJI/NAMRU3_D606/2021	2021-09-21	9.00	21J (Delta)	Djibouti		Djibouti	21J (Delta)	202138	OL640787	Homo sapiens	1.23	AY.46	Older	Africa		Arnold et al BO				
DJI/NAMRU3_D334/2021	2021-09-09	9.00	21J (Delta)	Djibouti		Djibouti	21J (Delta)	202136	OL640781	Homo sapiens	1.23	AY.46	Older	Africa		Arnold et al BP				
DJI/NAMRU3_E65/2021	2021-09-22	9.00	21J (Delta)	Djibouti		Djibouti	21J (Delta)	202138	OL640819	Homo sapiens	1.23	AY.46	Older	Africa		Arnold et al BQ				
DJI/NAMRU3_E299/2021	2021-09-28	9.00	21J (Delta)	Djibouti		Djibouti	21J (Delta)	202139	OL640808	Homo sapiens	1.23	AY.46	Older	Africa		Arnold et al BR				
DJI/NAMRU3_E220/2021	2021-09-27	9.00	21J (Delta)	Djibouti		Djibouti	21J (Delta)	202139	OL640791	Homo sapiens	1.23	AY.46	Older	Africa		Arnold et al BS				
KEN/SS4924/2021	2021-12-10	8.00	21J (Delta)	Kenya	0.00	Kenya	21J (Delta)	202149	OM141474	Homo sapiens	1.16		3-7 days ago	Africa		Githinji et al IX				-10.56
KEN/SS4164/2021	2021-11-18	7.00	21J (Delta)	Kenya	0.00	Kenya	21J (Delta)	202146	OL913051	Homo sapiens	1.14	AY.46	One month ago	Africa		Githinji et al IY				-10.56
KEN/SS3717/2021	2021-09-21	8.00	21J (Delta)	Kenya		Kenya	21J (Delta)	202138	OL352294	Homo sapiens	1.21	AY.46	Older	Africa		Githinji et al IZ				
KEN/SS4113/2021	2021-10-11	9.00	21J (Delta)	Kenya		Kenya	21J (Delta)	202141	OL739872	Homo sapiens	1.18	AY.46	Older	Africa		Githinji et al JA				
KEN/SS4110/2021	2021-10-09	8.00	21J (Delta)	Kenya		Kenya	21J (Delta)	202140	OL739871	Homo sapiens	1.18	AY.46	Older	Africa		Githinji et al JB				
KEN/SS4097/2021	2021-10-06	8.00	21J (Delta)	Kenya		Kenya	21J (Delta)	202140	OL739865	Homo sapiens	1.14	AY.46	Older	Africa		Githinji et al JC				
SYC/SS3916/2021	2021-10-07	10.00	21J (Delta)	Seychelles		Seychelles	21J (Delta)	202140	OL691206	Homo sapiens	1.19	AY.121	Older	Africa		Githinji et al JD				
SYC/SS3917/2021	2021-10-07	10.00	21J (Delta)	Seychelles		Seychelles	21J (Delta)	202140	OL691207	Homo sapiens	1.20	AY.121	Older	Africa		Githinji et al JE				
SYC/SS3897/2021	2021-10-04	9.00	21J (Delta)	Seychelles		Seychelles	21J (Delta)	202140	OL691188	Homo sapiens	1.22	AY.84	Older	Africa		Githinji et al JF				
SYC/SS3940/2021	2021-10-13	10.00	21J (Delta)	Seychelles		Seychelles	21J (Delta)	202141	OL691225	Homo sapiens	1.20	AY.46	Older	Africa		Githinji et al JG				
KEN/SS3724/2021	2021-10-17	8.00	21J (Delta)	Kenya		Kenya	21J (Delta)	202142	OL352732	Homo sapiens	1.16	AY.46	Older	Africa		Githinji et al JH				
KEN/C111535/2021	2021-11-09	8.00	21J (Delta)	Kenya	0.00	Kenya	21J (Delta)	202145	OL691330	Homo sapiens	1.19	AY.46	Older	Africa		Githinji et al JI				-10.56
KEN/C111863/2021	2021-11-15	8.00	21J (Delta)	Kenya	0.00	Kenya	21J (Delta)	202146	OL691334	Homo sapiens	1.16	AY.46	Older	Africa		Githinji et al JJ				-10.56
KEN/C111861/2021	2021-11-15	8.00	21J (Delta)	Kenya	0.00	Kenya	21J (Delta)	202146	OL691333	Homo sapiens	1.16	AY.46	Older	Africa		Githinji et al JK				-10.56
KEN/C111708/2021	2021-11-12	8.00	21J (Delta)	Kenya	0.00	Kenya	21J (Delta)	202145	OL691331	Homo sapiens	1.16	AY.46	Older	Africa		Githinji et al JL				-10.56
KEN/SS4133/2021	2021-10-25	9.00	21J (Delta)	Kenya	0.00	Kenya	21J (Delta)	202143	OL913030	Homo sapiens	1.30	AY.46	One month ago	Africa		Githinji et al JM				-10.56
KEN/SS3675/2021	2021-09-15	8.00	21J (Delta)	Kenya		Kenya	21J (Delta)	202137	OL352270	Homo sapiens	1.19	AY.46	Older	Africa		Githinji et al JN				
KEN/SS4161/2021	2021-11-15	9.00	21J (Delta)	Kenya	0.00	Kenya	21J (Delta)	202146	OL913049	Homo sapiens	1.18	AY.46.4	One month ago	Africa		Githinji et al JO				-10.56
KEN/SS2745/2021	2021-09-16	9.00	21J (Delta)	Kenya		Kenya	21J (Delta)	202137	OK377663	Homo sapiens	1.20	AY.46.4	Older	Africa		Githinji et al JP				
KEN/SS4135/2021	2021-10-26	10.00	21J (Delta)	Kenya	0.00	Kenya	21J (Delta)	202143	OL913031	Homo sapiens	1.19	AY.46.4	One month ago	Africa		Githinji et al JQ				-10.56
KEN/SS4151/2021	2021-11-07	10.00	21J (Delta)	Kenya	0.00	Kenya	21J (Delta)	202145	OL913042	Homo sapiens	1.19	AY.46.4	One month ago	Africa		Githinji et al JR				-10.56
USA/RI-CDC-ASC210462043/2021	2021-10-15	8.00	21J (Delta)	USA		Rhode Island	21J (Delta)	202141	OL567264	Homo sapiens	1.16	AY.46.1	Older	North America		Howard et al OE		Aegis Sciences Corporation	CDC-OAMD	
KEN/SS4132/2021	2021-10-28	8.00	21J (Delta)	Kenya	0.00	Kenya	21J (Delta)	202143	OL913029	Homo sapiens	1.20	AY.46	One month ago	Africa		Githinji et al JS				-10.56
KEN/SS3074/2021	2021-09-29	8.00	21J (Delta)	Kenya		Kenya	21J (Delta)	202139	OK510505	Homo sapiens	1.20	AY.46	Older	Africa		Githinji et al JT				
KEN/SS4149/2021	2021-11-06	9.00	21J (Delta)	Kenya	0.00	Kenya	21J (Delta)	202144	OL913040	Homo sapiens	1.15	AY.46	One month ago	Africa		Githinji et al JU				-10.56
